Full Name,Email,Date of Birth,Salary,Department,Start Date,Is Active,Employee ID,Review Scores,Notes
Kylie Williams,estanley@example.net,8/21/2003,92555.98,Support,8/24/1995,FALSE,1056,"[3.9, 1.9]",Actually information majority item gun through.
Christian Thompson,smithjason@example.net,3/19/1989,39669.32,Engineering,7/31/1981,FALSE,1088,"[3.8, 1.3, 2.6]",Environmental system store beautiful think during let particular.
Allen Rosales,tonykelly@example.com,9/25/1982,54820.13,Sales,1/1/1968,TRUE,1091,"[2.5, 1.0, 2.4, 4.0, 4.4, 4.8]",They red everybody act way.
Nathan Freeman,hannahbrewer@example.com,1/26/1990,95535.88,Finance,12/1/1982,FALSE,1028,"[2.7, 1.1, 2.3, 3.7]",Behavior develop reality.
Kevin Kennedy,ronald85@example.com,5/27/2007,86086.82,Engineering,3/24/1982,TRUE,1050,"[3.3, 1.1, 3.6, 1.5, 2.8, 1.2]",Even edge building court build movie several.
Daniel Washington,tina34@example.org,2/17/1984,69221.5,Sales,5/22/1974,FALSE,1032,"[2.9, 4.0]",
Adrian Ferguson,brandon08@example.com,1/12/2007,56906.66,HR,7/14/1980,TRUE,1096,"[4.8, 1.8]",
Margaret Mullins,salasaudrey@example.com,2/24/1992,45146.52,Support,10/3/1989,TRUE,1059,"[4.1, 1.7, 3.4, 4.0]",Future whole education technology box assume.
Kenneth Parks Jr.,christopher31@example.net,11/23/1987,145766.49,HR,9/3/1964,TRUE,1039,"[3.7, 4.8, 2.6, 3.9, 1.3, 3.8]",Other peace simply herself training father open investment.
Amy Choi,mezajared@example.org,7/31/1977,122697.71,Support,5/21/1953,TRUE,1072,"[2.4, 2.7]",Church community avoid able.
Kirk Carter,keithcampbell@example.com,6/1/1964,70947.74,Sales,3/2/1945,TRUE,1055,"[3.5, 4.3, 3.8, 2.7]",Under skin person product value.
Joshua Holland,margaret10@example.org,7/3/1980,62409.89,Finance,7/22/1961,FALSE,1055,"[2.1, 4.4, 4.3, 1.3, 4.5, 2.0]",See notice eye buy read record wall matter.
Bobby Williams MD,cassandra01@example.org,6/16/2005,75478.72,HR,1/9/1986,FALSE,1023,"[1.8, 4.2, 2.4, 4.5, 3.8]",Onto again share start office several compare.
Jessica Ramirez,fwalters@example.org,7/23/1991,,Engineering,6/16/1990,TRUE,1092,"[3.0, 4.0, 3.8, 3.6, 3.0]",Impact fly bit claim in many.
Jennifer Hodges,gibsonleonard@example.com,6/18/1967,56591.57,Support,4/15/1959,FALSE,1084,"[2.5, 3.2, 2.4, 5.0, 3.2, 2.4]",Ten stay ability thank left approach.
Lisa Jimenez,rpeterson@example.net,12/11/1996,57664.56,Support,1/17/1991,FALSE,1015,"[4.8, 3.8, 1.8, 4.0, 2.1, 3.4]",Until just recognize building.
Lisa Allen,lancesmith@example.com,11/30/1965,147661.28,Engineering,5/14/1955,TRUE,1046,"[2.2, 3.8, 1.5]",
Ryan Wilson,hollanderic@example.net,6/8/1979,65056.4,Engineering,7/24/1953,FALSE,1013,"[3.3, 2.9]",Relate indeed lot line lead certain course.
Nicole Taylor,hillkristy@example.com,9/13/1982,36165.21,Sales,4/27/1980,TRUE,1051,"[1.3, 3.5, 1.2, 1.6, 3.3]",Environment able rise study oil process tend.
John Cook,ugibson@example.org,1/14/2007,44214.19,Sales,7/31/1982,TRUE,1096,"[2.5, 4.6, 2.2, 3.4, 2.7, 3.3]",
James Chase,vwilliams@example.com,7/25/2007,41908.03,Engineering,3/30/1982,TRUE,1033,"[1.6, 1.7]",
Jane Mcneil,tylerjohnson@example.net,9/26/1999,,Sales,11/2/1975,FALSE,1037,"[1.9, 3.8]",Thank them key moment lead reveal.
Matthew Moore,qharrington@example.com,12/26/2001,112486.19,Marketing,9/8/1976,TRUE,1054,"[3.2, 3.6]",Power system system teacher here first.
Olivia Brennan,williamsonjimmy@example.net,2/16/1979,38569.18,Engineering,1/26/1968,FALSE,1061,"[2.9, 2.2]",Section its better plant their.
Michael Berger,nguyenbrian@example.com,1/29/1985,94797.79,Sales,3/18/1984,TRUE,1055,"[3.4, 1.1, 1.9, 3.7]",Certainly most not society color bad.
Lisa Allen,jesselittle@example.com,12/12/1976,32489.45,Support,8/7/1967,TRUE,1097,"[2.9, 3.6, 4.7]",Together let explain.
Angela Landry,danielle64@example.com,2/18/1980,106174.17,Sales,10/12/1978,FALSE,1044,"[2.3, 3.7, 4.4, 2.3, 3.8]",Yourself table blood high grow.
Michael Johnson,khill@example.net,11/29/1962,127627.92,Finance,1/2/1964,FALSE,1011,"[2.0, 1.5, 4.1, 4.5]",Seat strategy total simply discover soon despite couple.
Perry Saunders,courtneyberger@example.net,4/3/1962,,Finance,4/8/1944,FALSE,1006,"[3.1, 3.5, 3.0]",Small almost half capital travel.
Jason Gonzalez,alyssa42@example.com,5/12/1992,62046.75,Engineering,3/7/1982,FALSE,1089,"[1.5, 4.9, 3.4, 2.0, 1.6]",Second full boy while cell.
Shannon Ramsey,zcoffey@example.net,6/18/1984,41185.1,HR,7/3/1966,TRUE,1082,"[3.0, 3.9, 3.0]",So add Mr lawyer.
Megan Richards,daniel37@example.org,9/24/2001,147629.36,Engineering,12/25/1983,TRUE,1049,"[4.7, 3.0, 4.5]",Foreign particular positive play less red power.
Andrew Johnson,pwilson@example.net,10/20/1968,124800.74,Sales,4/18/1956,FALSE,1000,"[3.9, 4.3, 3.3, 3.6]",Law provide sea watch industry score.
Jason Garcia,rgilbert@example.org,7/19/2006,88120.97,Marketing,7/12/1984,FALSE,1058,"[4.5, 4.9, 2.0, 2.5]",Describe know door guy wonder happen.
Maria Brown,james17@example.org,9/3/2004,68181.16,Sales,4/24/1990,FALSE,1084,"[3.0, 1.1, 3.0]",Politics others again skill during.
Justin Jones,brendali@example.org,12/6/1981,134902.84,Sales,3/13/1980,FALSE,1001,"[2.6, 3.6, 1.6]",Small other everyone worker.
Ms. Rebecca Rodriguez,andersonmichael@example.org,8/24/1999,70627.35,Support,7/21/1984,TRUE,1042,"[2.5, 2.3, 3.9, 4.0, 4.5, 1.1]",
Christopher Williams,vfox@example.org,12/25/1991,140511.49,Engineering,9/1/1990,FALSE,1012,"[2.8, 3.8]",Sing message board mean war analysis situation.
Kelly Ellis,browntimothy@example.com,7/31/1988,,HR,2/28/1978,FALSE,1047,"[1.6, 3.1, 3.3, 4.2, 1.7]",
Katherine Browning,lammarc@example.org,1/16/1964,104365.24,Engineering,6/16/1944,TRUE,1029,"[3.6, 2.8, 3.7, 4.6, 2.9]",Every plan nature foot.
Kerry Chavez DDS,mcguiredanny@example.net,11/13/2003,38863.43,Marketing,4/1/1980,FALSE,1081,"[3.8, 2.8, 2.2, 5.0, 4.4]",Result Democrat later direction fund law indeed.
Jeffery Ortega,stephanie71@example.org,5/19/1965,73075.1,Marketing,11/16/1954,TRUE,1084,"[2.1, 3.3, 3.7, 4.0, 1.2]",It season head candidate.
Tyler Hoffman,jenkinsmorgan@example.com,1/27/1963,138498.63,Marketing,6/28/1955,FALSE,1081,"[3.5, 3.7, 3.9]",Outside goal official defense prevent.
Brian Bruce,danny49@example.org,10/9/1988,105389.77,Support,7/9/1962,TRUE,1039,"[1.1, 2.5, 1.5, 4.6, 2.3]",Window stand party poor ago upon stop.
Christopher Park,sandra50@example.org,4/27/1969,124381.54,Marketing,3/31/1948,FALSE,1021,"[4.7, 4.8, 4.9, 2.2]",Price attorney scientist will begin most heavy.
Christopher Collins,kimberly99@example.org,2/25/1963,86199.77,HR,7/30/1959,TRUE,1033,"[4.9, 4.2, 2.5, 4.2, 1.1]",Church pay purpose evening.
Karla Ramos,jason81@example.com,10/29/1988,110739.41,Support,10/22/1979,FALSE,1081,"[1.4, 1.9, 1.1, 4.5]",Exist question main project.
James Greene,harrissierra@example.org,12/16/1976,56564.06,HR,3/13/1951,FALSE,1081,"[3.6, 1.5, 1.2, 1.1]",Foreign account section compare herself.
Kathryn Whitaker,charles06@example.org,11/10/1990,58176,Finance,7/7/1987,FALSE,1058,"[3.7, 4.0, 4.8, 2.7]",Television office of remember.
Brian Smith,george97@example.net,3/12/1984,79786.14,HR,12/25/1964,FALSE,1035,"[3.8, 1.9]",Join black job hundred.
Seth Reese,masonjackson@example.net,8/30/2002,73522.32,Support,12/3/1988,FALSE,1007,"[2.1, 4.9, 4.8, 4.3, 1.4]",Most create simply go.
Maria Hernandez,thomasjames@example.net,12/22/1969,146531.2,HR,10/2/1957,TRUE,1016,"[1.8, 4.3, 3.2, 3.3, 4.3, 1.9]",Concern significant management senior.
Joann Glass,michelle52@example.com,3/21/1964,101517.8,Marketing,6/20/1960,TRUE,1069,"[4.2, 1.4, 4.5, 1.5]",Kind field ever argue medical financial later.
Ronald Jones,bfleming@example.com,1/24/1999,100662.35,HR,12/27/1993,FALSE,1006,"[4.0, 3.1, 4.0]",West school American training occur could painting.
Tina Hayes,toni18@example.net,4/25/1971,91588.55,HR,10/11/1953,TRUE,1078,"[3.9, 4.6]",Easy just keep.
Caitlin Watson,paul59@example.org,7/3/2002,107200.88,HR,7/7/2002,FALSE,1051,"[3.7, 3.0, 4.6, 1.3, 1.3]",At behind question exist rich prevent.
Shelley Cook,sabrinacollins@example.net,2/7/2007,63001.92,Support,8/2/1983,FALSE,1048,"[3.1, 2.8, 3.4, 1.4, 3.8, 4.4]",Can remember be next poor foreign.
Michael Valentine,lucasrodney@example.com,10/24/1960,116500.79,Engineering,4/5/1944,FALSE,1029,"[2.4, 2.8, 2.7, 1.4, 2.7]",Final week game she court yourself.
Edward French,stanleynancy@example.net,6/28/1968,48316.67,Sales,3/21/1968,TRUE,1010,"[2.7, 4.0]",Heavy class story side speak close join improve.
Cynthia Wallace,karen73@example.net,11/6/1975,37197.72,Finance,5/23/1953,FALSE,1085,"[2.6, 4.5]",Whole six tough create question.
Jessica Hammond,ashaw@example.org,2/28/1973,139901.24,HR,12/31/1962,FALSE,1045,"[3.3, 1.9]",Catch economic political them never bill suffer surface.
Phillip Nelson,mariahdavis@example.org,4/9/1990,42986.21,Finance,7/9/1976,TRUE,1097,"[3.3, 4.2, 4.4, 4.9]",Us increase how hear history bank.
Fernando Garcia,lacey20@example.com,9/21/1991,107123.9,HR,2/22/1967,FALSE,1003,"[2.1, 4.0, 4.7]",Serve light past town.
Daniel Hernandez,srodriguez@example.org,1/25/1980,47190.18,Support,10/29/1964,TRUE,1018,"[1.4, 3.1]",Answer information soldier lead.
Taylor Carlson,chenbailey@example.net,5/5/1969,48889.11,Marketing,7/13/1957,TRUE,1006,"[1.6, 3.5, 3.7]",Investment pass drive indicate professor.
William Jones,myerstheodore@example.net,11/24/1985,88279.4,Sales,1/22/1970,FALSE,1027,"[1.5, 2.7, 2.1, 3.7, 2.9, 3.7]",
Mrs. Alexis Kramer,john19@example.net,3/14/1982,101918.99,HR,10/8/1975,FALSE,1027,"[4.1, 2.2, 1.5]",And national spend compare.
Julie Dominguez,lisabrown@example.com,2/2/1962,45502.28,Finance,7/4/1954,FALSE,1009,"[4.4, 1.2, 1.1, 4.7, 4.4]",Cut social though firm financial.
Robert Kennedy,mullinsjames@example.com,10/29/1962,115139.88,Sales,7/30/1952,TRUE,1051,"[4.9, 1.7]",Event son join hundred keep what.
Cody Holt,sandra84@example.org,6/16/1988,112753.2,Marketing,3/31/1987,FALSE,1013,"[2.7, 2.6, 1.3]",Issue yet Congress family.
Garrett Phillips,bmorrison@example.org,7/6/2006,56588.65,Engineering,10/28/2005,TRUE,1067,"[1.8, 4.1, 2.4, 4.8, 3.6, 1.6]",Goal amount thank good your ever.
Theresa Jones,zcox@example.net,10/21/2005,50819.88,Engineering,2/21/1979,TRUE,1022,"[2.9, 3.3, 3.3, 3.7, 4.5]",Well central parent sit.
Austin Osborne,michael90@example.net,1/5/1970,68784.99,Support,7/28/1958,TRUE,1056,"[2.9, 3.5]",We head several off morning huge power.
Brian Fitzgerald,jholmes@example.org,5/21/1977,72233.07,HR,3/15/1966,FALSE,1057,"[1.2, 4.3]",
Michele Lewis,heather73@example.org,10/22/1968,132635.2,Finance,11/24/1944,FALSE,1059,"[3.2, 4.2, 4.6, 2.8, 4.2, 3.6]",Later together knowledge because.
Sarah Flores,jenna88@example.com,12/26/1979,48103.33,HR,7/7/1962,TRUE,1043,"[3.0, 1.7]",Republican until point soldier.
Barbara Harris,joelsnyder@example.com,4/10/1997,82730.62,Finance,8/28/1972,TRUE,1046,"[4.7, 2.5, 4.1, 3.7]",
Julie Bird,cherylmiller@example.com,9/1/1986,70157.92,Marketing,3/2/1985,FALSE,1001,"[3.9, 3.6, 4.6, 4.5]",Moment shoulder statement available win politics last.
Haley Humphrey,katrinaanderson@example.net,5/6/1963,46971.41,Marketing,3/2/1952,FALSE,1016,"[3.8, 1.3, 3.2, 3.6, 2.3, 1.5]",Million fight class various.
Travis Stone,meghan43@example.net,1/21/1997,149659.69,Finance,8/9/1995,FALSE,1065,"[1.1, 2.2, 4.8, 2.4]",By field move maybe collection.
Brittany Hopkins,megan90@example.org,2/5/1965,149997.19,Engineering,5/17/1964,FALSE,1100,"[3.0, 3.2]",We side enough.
Kenneth Montgomery,jimenezcourtney@example.com,4/3/2003,109431.51,Finance,2/11/2000,FALSE,1019,"[1.7, 3.8, 3.5]",Lot source rate father authority.
Jeffrey Washington,matthewthomas@example.net,4/20/1981,35243.09,Marketing,5/21/1973,FALSE,1078,"[4.0, 4.1, 1.9, 2.0]",Wish candidate have no five letter.
David Davis,sonia96@example.org,6/10/1970,138476.92,Engineering,9/5/1956,FALSE,1059,"[4.1, 3.0, 2.7, 1.6]",Value return couple city you level.
Kathleen Davis,pwagner@example.org,4/9/1999,134760.23,HR,3/31/1973,FALSE,1047,"[4.7, 3.8, 3.1, 1.5, 1.3, 1.6]",Any example our successful pull experience.
Brian Anderson,jessica65@example.org,10/31/1986,129725.61,HR,8/12/1979,FALSE,1044,"[2.7, 2.6]",Now crime network.
Jonathan Duran,marcia99@example.org,4/29/1968,39792.65,Engineering,10/20/1969,FALSE,1012,"[4.2, 1.6, 2.1, 4.3]",Hour some fund voice.
Christina Hicks,williamsderrick@example.com,10/23/1991,114664.34,Sales,12/12/1966,TRUE,1010,"[2.0, 4.3]",Lead paper middle foreign party class wrong.
Elizabeth Rogers,terickson@example.com,9/14/1960,93332.58,HR,7/9/1950,TRUE,1038,"[1.2, 2.7]",Former body indicate film together the.
Linda Baker,jennifersilva@example.org,3/31/1995,43302.95,Sales,3/21/1971,TRUE,1080,"[3.3, 3.9, 2.2, 1.0, 2.4, 3.3]",Return simple herself start drug occur red course.
Jason Gutierrez,roberthampton@example.com,10/24/1963,92818.15,Marketing,7/8/1963,TRUE,1049,"[1.2, 2.5, 2.5, 4.0, 2.4]",
Kelly Hoffman,ufox@example.org,11/7/1990,108852.53,HR,6/28/1967,FALSE,1017,"[2.4, 2.4]",Garden great sign return poor really particular.
David Grant,shellyhendrix@example.com,7/17/2007,112161.91,Support,10/24/1988,TRUE,1017,"[3.9, 4.8]",
Michael Stewart,ann44@example.org,8/6/1998,124933.11,HR,3/7/1987,FALSE,1065,"[5.0, 3.2, 2.0, 4.0, 1.8]",Here woman stand west source fact explain.
Hannah Ramos,julie33@example.net,1/9/1978,133895.79,Marketing,7/4/1968,TRUE,1047,"[4.6, 4.0, 4.6, 2.5, 4.9]",Receive case past only drug prove most.
Amy Gutierrez,xgarcia@example.org,12/4/1959,140917.26,Finance,9/13/1950,TRUE,1093,"[1.3, 3.4, 4.3, 3.2, 2.3]",
Vanessa Moore,mwoods@example.com,6/5/1981,66779.5,Finance,1/19/1965,TRUE,1088,"[2.4, 1.2, 4.5, 2.4, 5.0]",Position traditional become off movement.
Taylor Gentry,robertmonroe@example.org,8/3/1986,143748.53,HR,3/22/1959,FALSE,1046,"[4.2, 3.7, 4.8, 1.6, 3.4, 4.1]",
Charlotte Curry,nancy04@example.net,8/4/2000,123421.84,Marketing,2/1/1987,FALSE,1072,"[3.4, 3.7]",Up friend lawyer political.
Stacy Anderson,znelson@example.org,1/28/1982,121570.14,Finance,8/22/1978,FALSE,1050,"[3.6, 2.0, 1.5, 3.9]",Room possible responsibility add.
Edward Craig,gregorychase@example.com,9/4/1988,97400.73,Marketing,9/28/1979,FALSE,1027,"[2.1, 4.7, 3.0, 1.5, 4.4, 2.8]",Foreign husband believe word local very according.
Jeremy Adams,kevin90@example.com,1/21/2004,40534.89,Support,6/16/1992,FALSE,1090,"[3.2, 2.2]",Realize artist brother fill if maybe.
Michele Collins,fowlershelia@example.com,5/25/2001,115147.65,Support,7/13/1975,TRUE,1046,"[1.9, 4.9, 4.2, 1.9, 3.0, 2.4]",Despite card check security paper.
Joshua Ruiz,kathleenbecker@example.net,2/21/1965,147961.43,Engineering,6/6/1940,TRUE,1008,"[2.6, 3.9, 2.9, 2.6]",Land region back nor article natural measure.
Brittany Murphy,nwilson@example.net,4/4/1999,45039.21,Marketing,3/7/1973,TRUE,1057,"[3.7, 2.4, 4.5, 4.1, 3.6]",Before member speak law message lead around.
Robert Cummings,ascott@example.net,5/26/1974,81914.19,HR,7/27/1971,TRUE,1038,"[1.6, 4.7, 1.9]",Authority interest red must art thus worry line.
Christopher Taylor,ybrooks@example.com,4/5/1985,64085.8,HR,10/4/1976,TRUE,1081,"[2.1, 3.5, 3.5, 1.4, 3.6, 3.4]",Bag who themselves card team budget.
Jenna Anderson DVM,avilatiffany@example.com,5/27/2005,104937.5,Finance,12/30/1992,TRUE,1003,"[1.2, 3.6]",Interest here discover leave choice country themselves.
Amanda Keller,allencarlos@example.net,11/9/1961,122035.08,Sales,11/13/1936,TRUE,1047,"[2.2, 4.8, 2.9, 4.2, 3.7, 2.2]",
Michael Brennan,joymorales@example.org,4/20/1996,82752.66,Sales,3/17/1978,TRUE,1043,"[1.6, 4.4, 2.3, 5.0, 2.4, 2.6]",Senior simply cell year doctor.
Laura Ray,joel28@example.org,9/19/1987,42742.07,Engineering,7/13/1969,TRUE,1034,"[2.0, 1.4, 2.2, 2.5, 3.5]",Every news option same compare.
Kristi Williams,shelly68@example.com,12/15/2006,49163.96,Marketing,10/13/1983,FALSE,1024,"[3.0, 3.1, 3.0]",Impact feel contain Mrs drive different.
Brianna Ford,harttammy@example.net,8/22/1995,,Sales,9/15/1975,FALSE,1030,"[3.3, 1.2, 2.1]",Home effort form bad.
Jacob Nichols,brettbennett@example.net,8/7/2000,110702.47,Marketing,4/7/1979,TRUE,1013,"[1.5, 2.1, 2.5, 2.6, 1.2]",
Benjamin Ballard,timothybooth@example.com,3/15/1980,73502.85,Marketing,8/24/1979,FALSE,1064,"[4.1, 2.1, 5.0, 3.7, 1.5]",Deep couple scientist.
Nicole Rocha,randyallen@example.com,11/1/1978,125387.67,Marketing,7/20/1956,FALSE,1096,"[1.8, 3.0, 3.0]",
Joseph Howard,michael77@example.org,7/10/1991,69964.88,Sales,12/19/1970,FALSE,1019,"[4.6, 1.6, 4.7, 2.3, 2.6, 3.5]",Trial have including none determine certainly.
Timothy Riley,mphillips@example.com,3/24/1975,90877.8,Finance,2/1/1954,FALSE,1090,"[2.2, 4.3, 2.5, 3.7, 4.9, 3.3]",Now early nearly want front shake.
Nathaniel Singh MD,gary87@example.org,6/18/1996,112565.24,HR,6/5/1972,FALSE,1033,"[3.3, 3.9, 3.3, 1.7, 3.5, 3.5]",Model stuff avoid stand.
Aaron Taylor,carloshernandez@example.org,12/27/1993,111687.23,HR,1/17/1971,TRUE,1024,"[2.8, 2.7]",Health pay project pattern low maintain according.
Alexandra Moreno,amanda40@example.net,1/23/2007,90218.34,Finance,8/24/1988,TRUE,1090,"[3.1, 3.2, 5.0]",South travel blood benefit chance court.
Robin Adams,zmiller@example.com,1/8/1998,144802.26,Sales,11/5/1976,FALSE,1069,"[3.7, 4.5, 3.7, 4.2]",Wrong difficult range summer president.
Olivia Davis,ebennett@example.org,11/26/2002,144880.49,Marketing,8/10/1980,FALSE,1028,"[4.1, 3.8, 3.8, 3.0]",Reflect bar suddenly.
Erin Madden,jacobsonsamantha@example.org,12/16/1973,142138.25,Support,6/6/1964,FALSE,1015,"[3.7, 2.5, 4.9, 4.3, 4.8, 4.2]",Little another avoid understand tonight nor allow.
Emily Ali,karenmarquez@example.com,10/22/1964,115696.95,Marketing,9/15/1947,FALSE,1095,"[1.9, 4.3, 2.1, 3.2, 2.1]",Class drive strong home to.
Perry Taylor,masonterri@example.org,3/21/1966,58713.85,HR,11/29/1938,TRUE,1081,"[1.2, 2.7, 3.9]",Discussion away painting pass other why.
Mark Bowers,whenry@example.net,2/13/1985,30621.77,Finance,10/10/1980,FALSE,1083,"[2.9, 1.8, 4.9, 2.3, 3.6]",Control one herself sign far east.
Derrick James,jodistewart@example.org,10/19/1965,98896,Finance,11/12/1966,TRUE,1053,"[4.7, 1.1, 4.3]",Wall know seven.
